DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,257,278,251,248,245,252,263,257,259,276
10k,2571,2581,2585,2563,2650,2552,2682,2665,2664,2620
100k,26082,26061,26127,26294,26323,26260,26053,26051,26004,25969
1m,180146,178507,179300,178854,179259,179677,178883,181963,178823,181377
