DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,1,1,2,1,3,1,1,1,1,1
10k,16,15,17,15,16,18,15,15,21,15
100k,187,162,159,163,161,158,157,155,157,152
1m,1628,1582,1635,1608,1605,1583,1563,1566,1677,1572
