DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,250,262,247,241,250,235,252,258,243,235
10k,2478,2471,2491,2499,2506,2451,2489,2477,2475,2433
100k,25267,25639,25347,25317,25559,25325,25506,25592,25917,25080
1m,257391,255557,257159,254476,254064,257285,257525,257502,256003,254479
