DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,1,0,0,0,0,0,0,0,0,0
10k,5,4,7,4,5,4,5,4,4,5
100k,40,42,42,42,43,42,41,45,44,47
1m,797,449,485,500,440,429,468,424,437,435
