DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,36,32,29,26,25,28,24,24,28,40
10k,392,265,249,270,239,280,269,294,240,248
100k,3566,2945,3067,2803,2878,2717,2817,2831,2828,2732
1m,29611,27712,27553,27366,27323,27657,28397,27158,28349,27842
