DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,1,0,1,1,1,0,0,1,0,0
10k,9,10,9,6,6,12,6,6,6,10
100k,100,67,75,67,82,70,77,103,69,71
1m,227,183,189,168,177,277,191,289,229,221
