DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,155,145,171,154,161,159,169,152,147,166
10k,1645,1591,1512,1535,1583,1607,1603,1554,1570,1600
100k,16037,16048,16322,15913,15866,15693,15549,15753,15258,15709
1m,157318,156145,165268,155052,152584,155455,155395,155418,156827,153471
