DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,0,1,0,0,1,1,0,0,1,0
10k,5,4,5,5,4,5,10,5,6,4
100k,59,50,51,51,49,49,50,54,68,50
1m,578,525,507,532,513,604,536,526,537,528
