DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,1,1,2,1,1,1,1,1,2,1
10k,4,7,5,5,8,5,5,10,5,9
100k,43,50,41,40,43,46,43,48,42,40
1m,1264,527,454,449,433,441,429,429,443,434
