DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,145,179,157,157,157,162,145,155,144,146
10k,1475,1544,1527,1540,1533,1530,1594,1551,1548,1517
100k,15495,15295,15680,15469,15395,15251,15751,15528,15630,15420
1m,156433,156741,155659,156937,155669,155628,156533,156434,158124,156631
