DB SIZE,REP 1,REP 2,REP 3,REP 4,REP 5,REP 6,REP 7,REP 8,REP 9,REP 10
1k,1,1,1,1,1,1,1,1,1,1
10k,15,10,8,16,8,8,8,11,10,8
100k,88,86,82,90,91,90,87,86,89,84
1m,1580,876,844,845,871,850,873,865,844,847
